# 260219_12:19:44.716912
t	CH1	CH2
0.000000e+00	-4.917103e-03	3.043367e-01
1.000000e-08	-4.732064e-03	4.310916e-02
2.000000e-08	1.043113e-03	-1.142370e-01
3.000000e-08	2.220062e-03	-2.942343e-01
4.000000e-08	-5.112531e-03	-4.000290e-01
5.000000e-08	4.640122e-04	-7.005579e-01
6.000000e-08	-4.754116e-03	-8.126253e-01
7.000000e-08	-1.700460e-03	-1.018417e+00
8.000000e-08	-3.987776e-03	-1.157367e+00
9.000000e-08	1.323311e-02	-1.435846e+00
1.000000e-07	8.564180e-02	-1.587840e+00
1.100000e-07	-1.195550e-02	-1.830444e+00
1.200000e-07	-4.964238e-02	-2.133613e+00
1.300000e-07	-3.720104e-02	-2.317265e+00
1.400000e-07	-1.146070e-01	-2.491627e+00
1.500000e-07	1.279722e-01	-2.483783e+00
1.600000e-07	7.648337e-02	-2.619600e+00
1.700000e-07	-1.797834e-01	-2.904253e+00
1.800000e-07	1.920168e-01	-3.062159e+00
1.900000e-07	-1.068445e-01	-3.240376e+00
2.000000e-07	-1.146787e-01	-3.492605e+00
2.100000e-07	2.077401e-01	-3.578845e+00
2.200000e-07	-9.415812e-02	-3.746316e+00
2.300000e-07	-6.540745e-02	-3.976444e+00
2.400000e-07	1.519164e-01	-4.104765e+00
2.500000e-07	-1.534709e-01	-4.355237e+00
2.600000e-07	1.277650e-01	-4.512679e+00
2.700000e-07	-5.299716e-02	-4.642579e+00
2.800000e-07	-5.997441e-02	-4.912232e+00
2.900000e-07	1.536902e-01	-5.038476e+00
3.000000e-07	-1.491370e-01	-5.209371e+00
3.100000e-07	6.365140e-02	-5.481028e+00
3.200000e-07	5.640005e-02	-5.598951e+00
3.300000e-07	-4.162298e-02	-5.798475e+00
3.400000e-07	3.834961e-02	-5.924663e+00
3.500000e-07	-1.004607e-01	-6.062181e+00
3.600000e-07	1.043850e-01	-6.231152e+00
3.700000e-07	-2.469854e-02	-6.418527e+00
