# Temperatura_=_81.11
# Concentracion g/m^3_=_15000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_301896.87061749434

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-6.831028e-06	-1.073258e-08	-4.749797e+01	-7.014560e+02
1.000000e-08	-6.828028e-06	-1.073080e-08	-4.747711e+01	-7.011526e+02
2.000000e-08	-6.822805e-06	-1.072361e-08	-4.744079e+01	-7.006845e+02
3.000000e-08	-6.815515e-06	-1.071578e-08	-4.739010e+01	-7.000595e+02
4.000000e-08	-6.805903e-06	-1.070508e-08	-4.732327e+01	-6.992905e+02
5.000000e-08	-6.793733e-06	-1.069034e-08	-4.723865e+01	-6.983947e+02
6.000000e-08	-6.779028e-06	-1.066967e-08	-4.713640e+01	-6.973913e+02
7.000000e-08	-6.761980e-06	-1.064124e-08	-4.701786e+01	-6.962998e+02
8.000000e-08	-6.742849e-06	-1.064640e-08	-4.688484e+01	-6.951381e+02
9.000000e-08	-6.721378e-06	-1.068228e-08	-4.673555e+01	-6.939202e+02
1.000000e-07	-6.697079e-06	-1.064304e-08	-4.656659e+01	-6.926548e+02
1.100000e-07	-6.669994e-06	-1.059019e-08	-4.637826e+01	-6.913446e+02
1.200000e-07	-6.640578e-06	-1.057344e-08	-4.617372e+01	-6.899855e+02
1.300000e-07	-6.609219e-06	-1.049384e-08	-4.595567e+01	-6.885673e+02
1.400000e-07	-6.575949e-06	-1.041376e-08	-4.572434e+01	-6.870746e+02
1.500000e-07	-6.540716e-06	-1.051093e-08	-4.547936e+01	-6.854879e+02
1.600000e-07	-6.503447e-06	-1.044691e-08	-4.522021e+01	-6.837859e+02
1.700000e-07	-6.464118e-06	-1.037892e-08	-4.494675e+01	-6.819469e+02
1.800000e-07	-6.422450e-06	-1.043386e-08	-4.465702e+01	-6.799503e+02
1.900000e-07	-6.378223e-06	-1.030588e-08	-4.434950e+01	-6.777786e+02
2.000000e-07	-6.331806e-06	-1.030660e-08	-4.402675e+01	-6.754179e+02
2.100000e-07	-6.282904e-06	-1.031258e-08	-4.368672e+01	-6.728591e+02
2.200000e-07	-6.231215e-06	-1.024383e-08	-4.332731e+01	-6.700977e+02
2.300000e-07	-6.177058e-06	-1.020100e-08	-4.295074e+01	-6.671334e+02
2.400000e-07	-6.120570e-06	-1.009774e-08	-4.255797e+01	-6.639703e+02
2.500000e-07	-6.061738e-06	-1.005376e-08	-4.214889e+01	-6.606155e+02
2.600000e-07	-6.000685e-06	-1.003663e-08	-4.172437e+01	-6.570781e+02
2.700000e-07	-5.937579e-06	-9.971669e-09	-4.128558e+01	-6.533688e+02
2.800000e-07	-5.872268e-06	-9.900297e-09	-4.083145e+01	-6.494984e+02
2.900000e-07	-5.804630e-06	-9.820380e-09	-4.036115e+01	-6.454772e+02
3.000000e-07	-5.734837e-06	-9.763072e-09	-3.987586e+01	-6.413140e+02
3.100000e-07	-5.662951e-06	-9.696847e-09	-3.937602e+01	-6.370161e+02
3.200000e-07	-5.588841e-06	-9.675509e-09	-3.886071e+01	-6.325881e+02
3.300000e-07	-5.512431e-06	-9.610560e-09	-3.832941e+01	-6.280324e+02
3.400000e-07	-5.433774e-06	-9.489793e-09	-3.778249e+01	-6.233487e+02
3.500000e-07	-5.352999e-06	-9.419975e-09	-3.722084e+01	-6.185344e+02
3.600000e-07	-5.270390e-06	-9.349843e-09	-3.664644e+01	-6.135849e+02
3.700000e-07	-5.186074e-06	-9.291660e-09	-3.606017e+01	-6.084938e+02
