# Temperatura_=_74.91
# Concentracion g/m^3_=_15000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_301577.33652504714

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-5.362858e-06	-6.233747e-09	-3.834081e+01	-4.069652e+02
1.000000e-08	-5.360258e-06	-6.233518e-09	-3.832222e+01	-4.067586e+02
2.000000e-08	-5.355896e-06	-6.227920e-09	-3.829104e+01	-4.064857e+02
3.000000e-08	-5.349907e-06	-6.224230e-09	-3.824822e+01	-4.061489e+02
4.000000e-08	-5.342316e-06	-6.218985e-09	-3.819395e+01	-4.057434e+02
5.000000e-08	-5.332942e-06	-6.207173e-09	-3.812693e+01	-4.052583e+02
6.000000e-08	-5.321524e-06	-6.193227e-09	-3.804530e+01	-4.046792e+02
7.000000e-08	-5.308218e-06	-6.169738e-09	-3.795017e+01	-4.039932e+02
8.000000e-08	-5.292863e-06	-6.153173e-09	-3.784039e+01	-4.031929e+02
9.000000e-08	-5.275261e-06	-6.216693e-09	-3.771455e+01	-4.022801e+02
1.000000e-07	-5.255593e-06	-6.224250e-09	-3.757394e+01	-4.012669e+02
1.100000e-07	-5.234023e-06	-6.164421e-09	-3.741973e+01	-4.001746e+02
1.200000e-07	-5.210768e-06	-6.148206e-09	-3.725347e+01	-3.990297e+02
1.300000e-07	-5.186044e-06	-6.010731e-09	-3.707671e+01	-3.978578e+02
1.400000e-07	-5.159692e-06	-5.984180e-09	-3.688831e+01	-3.966780e+02
1.500000e-07	-5.131634e-06	-6.180714e-09	-3.668772e+01	-3.954970e+02
1.600000e-07	-5.102137e-06	-6.010876e-09	-3.647683e+01	-3.943071e+02
1.700000e-07	-5.071130e-06	-5.991448e-09	-3.625516e+01	-3.930862e+02
1.800000e-07	-5.038044e-06	-6.108905e-09	-3.601861e+01	-3.918016e+02
1.900000e-07	-5.003018e-06	-5.862309e-09	-3.576820e+01	-3.904158e+02
2.000000e-07	-4.966542e-06	-5.927928e-09	-3.550742e+01	-3.888942e+02
2.100000e-07	-4.928339e-06	-6.000965e-09	-3.523429e+01	-3.872109e+02
2.200000e-07	-4.888313e-06	-5.808558e-09	-3.494813e+01	-3.853537e+02
2.300000e-07	-4.846331e-06	-5.845683e-09	-3.464799e+01	-3.833254e+02
2.400000e-07	-4.802389e-06	-5.857350e-09	-3.433383e+01	-3.811421e+02
2.500000e-07	-4.756729e-06	-5.782872e-09	-3.400740e+01	-3.788286e+02
2.600000e-07	-4.709203e-06	-5.792564e-09	-3.366761e+01	-3.764124e+02
2.700000e-07	-4.659645e-06	-5.680714e-09	-3.331331e+01	-3.739181e+02
2.800000e-07	-4.607997e-06	-5.639525e-09	-3.294406e+01	-3.713624e+02
2.900000e-07	-4.554448e-06	-5.629523e-09	-3.256123e+01	-3.687519e+02
3.000000e-07	-4.499302e-06	-5.590240e-09	-3.216697e+01	-3.660834e+02
3.100000e-07	-4.442566e-06	-5.570042e-09	-3.176135e+01	-3.633470e+02
3.200000e-07	-4.384060e-06	-5.528140e-09	-3.134307e+01	-3.605294e+02
3.300000e-07	-4.323944e-06	-5.462857e-09	-3.091327e+01	-3.576186e+02
3.400000e-07	-4.262388e-06	-5.360542e-09	-3.047319e+01	-3.546068e+02
3.500000e-07	-4.199402e-06	-5.359109e-09	-3.002288e+01	-3.514921e+02
3.600000e-07	-4.134959e-06	-5.347561e-09	-2.956216e+01	-3.482782e+02
3.700000e-07	-4.068847e-06	-5.261713e-09	-2.908950e+01	-3.449718e+02
3.800000e-07	-4.001175e-06	-5.220699e-09	-2.860570e+01	-3.415808e+02
3.900000e-07	-3.932177e-06	-5.166640e-09	-2.811241e+01	-3.381105e+02
4.000000e-07	-3.861860e-06	-5.102705e-09	-2.760969e+01	-3.345628e+02
4.100000e-07	-3.790342e-06	-5.041889e-09	-2.709839e+01	-3.309353e+02
