# 260219_12:57:05.899352
t	CH1	CH2
0.000000e+00	-6.440904e-03	2.261128e+00
1.000000e-08	-6.410431e-03	1.948948e+00
2.000000e-08	-6.028635e-03	1.653607e+00
3.000000e-08	-6.094486e-03	1.379322e+00
4.000000e-08	-5.888921e-03	1.072505e+00
5.000000e-08	-5.567438e-03	7.447944e-01
6.000000e-08	-5.536990e-03	4.626790e-01
7.000000e-08	-4.375711e-03	1.459193e-01
8.000000e-08	-1.315024e-03	-1.052936e-01
9.000000e-08	7.481285e-03	-4.089990e-01
1.000000e-07	-3.190523e-03	-6.636597e-01
1.100000e-07	1.363165e-03	-9.364137e-01
1.200000e-07	-4.437831e-03	-1.190056e+00
1.300000e-07	-1.151708e-03	-1.518221e+00
1.400000e-07	-2.796827e-03	-1.727896e+00
1.500000e-07	1.921319e-02	-1.991024e+00
1.600000e-07	6.767009e-02	-2.264657e+00
1.700000e-07	3.367995e-02	-2.590577e+00
1.800000e-07	-8.242741e-02	-3.009998e+00
1.900000e-07	1.343259e-03	-3.344424e+00
2.000000e-07	-4.841532e-02	-3.546892e+00
2.100000e-07	-2.878447e-02	-3.768599e+00
2.200000e-07	-2.650775e-02	-4.062104e+00
2.300000e-07	1.727610e-01	-4.199478e+00
2.400000e-07	-1.132924e-01	-4.422836e+00
2.500000e-07	2.264721e-02	-4.788451e+00
2.600000e-07	6.489411e-02	-4.980054e+00
2.700000e-07	-1.215453e-01	-5.400574e+00
2.800000e-07	1.352351e-01	-5.612712e+00
2.900000e-07	-9.662094e-02	-5.914263e+00
3.000000e-07	7.646777e-02	-6.201573e+00
3.100000e-07	-7.261798e-03	-6.472133e+00
3.200000e-07	-7.146048e-02	-6.778899e+00
3.300000e-07	1.121566e-01	-7.060601e+00
3.400000e-07	-7.257238e-02	-7.317948e+00
3.500000e-07	4.326416e-02	-7.609928e+00
3.600000e-07	-4.518785e-02	-7.842182e+00
3.700000e-07	4.592267e-02	-8.197496e+00
3.800000e-07	3.631555e-02	-8.378872e+00
3.900000e-07	-6.172907e-02	-8.703085e+00
4.000000e-07	7.860947e-02	-8.935789e+00
4.100000e-07	-4.975726e-02	-9.117395e+00
4.200000e-07	2.464136e-02	-9.388473e+00
4.300000e-07	-2.875288e-02	-9.620974e+00
4.400000e-07	5.247612e-02	-9.843628e+00
4.500000e-07	1.010662e-02	-1.005206e+01
4.600000e-07	-1.960672e-02	-1.031471e+01
4.700000e-07	1.702015e-02	-1.047579e+01
4.800000e-07	-5.753620e-03	-1.072532e+01
4.900000e-07	3.521399e-02	-1.086476e+01
5.000000e-07	-1.996013e-02	-1.111529e+01
5.100000e-07	3.700026e-02	-1.137689e+01
5.200000e-07	-9.912229e-03	-1.157827e+01
5.300000e-07	1.579849e-02	-1.175739e+01
5.400000e-07	-5.766351e-03	-1.194619e+01
5.500000e-07	2.613543e-02	-1.216779e+01
5.600000e-07	5.722373e-03	-1.231429e+01
5.700000e-07	5.068896e-03	-1.248686e+01
5.800000e-07	9.824455e-03	-1.265316e+01
5.900000e-07	1.185171e-02	-1.287358e+01
6.000000e-07	1.843967e-02	-1.302045e+01
