# Temperatura_=_53.94575221238939
# Concentracion g/m^3_=_15000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_302378.3620876992
# Promedio de 113 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-8.149659e-09	-1.034074e-08	-5.689812e+01	-6.765636e+02
1.000000e-08	-8.145273e-09	-1.033950e-08	-5.686749e+01	-6.763116e+02
2.000000e-08	-8.138284e-09	-1.033275e-08	-5.681870e+01	-6.759355e+02
3.000000e-08	-8.128510e-09	-1.032425e-08	-5.675047e+01	-6.754374e+02
4.000000e-08	-8.115792e-09	-1.031448e-08	-5.666168e+01	-6.748252e+02
5.000000e-08	-8.100134e-09	-1.030243e-08	-5.655236e+01	-6.741115e+02
6.000000e-08	-8.081832e-09	-1.028757e-08	-5.642458e+01	-6.733105e+02
7.000000e-08	-8.061217e-09	-1.026858e-08	-5.628065e+01	-6.724357e+02
8.000000e-08	-8.038012e-09	-1.026828e-08	-5.611865e+01	-6.714967e+02
9.000000e-08	-8.011699e-09	-1.029926e-08	-5.593493e+01	-6.704986e+02
1.000000e-07	-7.982168e-09	-1.027270e-08	-5.572877e+01	-6.694416e+02
1.100000e-07	-7.949610e-09	-1.021975e-08	-5.550146e+01	-6.683219e+02
1.200000e-07	-7.914175e-09	-1.019139e-08	-5.525407e+01	-6.671330e+02
1.300000e-07	-7.876153e-09	-1.016539e-08	-5.498861e+01	-6.658675e+02
1.400000e-07	-7.835747e-09	-1.012685e-08	-5.470651e+01	-6.645182e+02
1.500000e-07	-7.792976e-09	-1.009108e-08	-5.440790e+01	-6.630777e+02
1.600000e-07	-7.747649e-09	-1.012441e-08	-5.409144e+01	-6.615388e+02
1.700000e-07	-7.699464e-09	-1.005564e-08	-5.375503e+01	-6.598935e+02
1.800000e-07	-7.648371e-09	-1.000397e-08	-5.339832e+01	-6.581323e+02
1.900000e-07	-7.594379e-09	-1.003820e-08	-5.302137e+01	-6.562446e+02
2.000000e-07	-7.537516e-09	-9.960725e-09	-5.262437e+01	-6.542195e+02
2.100000e-07	-7.477941e-09	-9.927189e-09	-5.220844e+01	-6.520470e+02
2.200000e-07	-7.415750e-09	-9.907336e-09	-5.177425e+01	-6.497205e+02
2.300000e-07	-7.350847e-09	-9.864562e-09	-5.132112e+01	-6.472378e+02
2.400000e-07	-7.283130e-09	-9.824345e-09	-5.084834e+01	-6.446021e+02
2.500000e-07	-7.212628e-09	-9.772661e-09	-5.035612e+01	-6.418215e+02
2.600000e-07	-7.139264e-09	-9.748182e-09	-4.984391e+01	-6.389074e+02
2.700000e-07	-7.063015e-09	-9.685453e-09	-4.931158e+01	-6.358717e+02
2.800000e-07	-6.983951e-09	-9.627078e-09	-4.875958e+01	-6.327243e+02
2.900000e-07	-6.902237e-09	-9.573140e-09	-4.818908e+01	-6.294705e+02
3.000000e-07	-6.818148e-09	-9.536031e-09	-4.760200e+01	-6.261097e+02
3.100000e-07	-6.731693e-09	-9.495794e-09	-4.699840e+01	-6.226360e+02
3.200000e-07	-6.642768e-09	-9.420279e-09	-4.637756e+01	-6.190397e+02
3.300000e-07	-6.551420e-09	-9.376512e-09	-4.573980e+01	-6.153099e+02
3.400000e-07	-6.457729e-09	-9.321736e-09	-4.508568e+01	-6.114372e+02
3.500000e-07	-6.361684e-09	-9.253188e-09	-4.441513e+01	-6.074161e+02
3.600000e-07	-6.263289e-09	-9.182468e-09	-4.372817e+01	-6.032455e+02
3.700000e-07	-6.162637e-09	-9.121882e-09	-4.302545e+01	-5.989285e+02
3.800000e-07	-6.059752e-09	-9.057207e-09	-4.230715e+01	-5.944707e+02
3.900000e-07	-5.954676e-09	-8.979861e-09	-4.157354e+01	-5.898769e+02
4.000000e-07	-5.847528e-09	-8.915210e-09	-4.082548e+01	-5.851496e+02
4.100000e-07	-5.738380e-09	-8.842519e-09	-4.006344e+01	-5.802867e+02
4.200000e-07	-5.627159e-09	-8.766279e-09	-3.928694e+01	-5.752813e+02
